epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3886.14,0.52118,0.70057,0.28887,0.83375,0.98624,0.97429,0.99179,0.90037,0.98624,0.97429,0.99201,0.86606,0.57256,0.87807,0.3396,0.83324,0.00060368,0.00060368,0.00060368
85,3932.26,0.52403,0.70478,0.29109,0.83466,0.97817,0.97343,0.99182,0.90675,0.97846,0.97371,0.9917,0.86748,0.56107,0.87135,0.33089,0.83132,0.0005891,0.0005891,0.0005891
86,3978.8,0.51326,0.68404,0.28626,0.83093,0.97768,0.95679,0.98689,0.89891,0.97768,0.95679,0.98719,0.85952,0.56669,0.89054,0.34542,0.8349,0.000574578,0.000574578,0.000574578
87,4025.87,0.50794,0.67929,0.28317,0.82662,0.98655,0.9568,0.98326,0.89935,0.98655,0.9568,0.98409,0.86015,0.56613,0.88914,0.33719,0.83418,0.00056012,0.00056012,0.00056012
88,4072,0.52183,0.68308,0.28388,0.8304,0.98781,0.95883,0.99056,0.90185,0.98781,0.95883,0.99022,0.86054,0.56666,0.89454,0.33261,0.83367,0.000545733,0.000545733,0.000545733
89,4118.66,0.51842,0.69372,0.28434,0.83142,0.99018,0.97741,0.99238,0.89745,0.99018,0.97741,0.99224,0.85819,0.59869,0.85674,0.32564,0.84364,0.000531423,0.000531423,0.000531423
90,4165.21,0.51142,0.6926,0.28022,0.82908,0.9858,0.96251,0.99093,0.90337,0.98551,0.96223,0.99099,0.85975,0.57241,0.89412,0.32322,0.83646,0.000517197,0.000517197,0.000517197
91,4211.37,0.51419,0.68329,0.2802,0.83038,0.98329,0.98368,0.99173,0.89898,0.98385,0.98424,0.99184,0.86028,0.58562,0.88152,0.31511,0.83798,0.00050306,0.00050306,0.00050306
92,4257.66,0.49989,0.6685,0.27617,0.82547,0.98427,0.9599,0.98732,0.89886,0.98427,0.9599,0.98732,0.85787,0.57145,0.91652,0.3296,0.83734,0.00048902,0.00048902,0.00048902
93,4302.54,0.49836,0.6757,0.2706,0.82485,0.98745,0.98164,0.99232,0.90553,0.98457,0.97879,0.99195,0.86378,0.57288,0.85117,0.3189,0.83528,0.000475081,0.000475081,0.000475081
94,4348.35,0.4992,0.67529,0.27111,0.82649,0.98185,0.97209,0.99048,0.90206,0.98185,0.97209,0.99048,0.86619,0.57332,0.87771,0.31847,0.8382,0.00046125,0.00046125,0.00046125
95,4395.8,0.49048,0.64879,0.26764,0.82321,0.98436,0.96054,0.98925,0.89986,0.98452,0.96119,0.98982,0.85651,0.58866,0.89979,0.32892,0.84053,0.000447534,0.000447534,0.000447534
96,4441.61,0.481,0.65491,0.26089,0.8203,0.98579,0.95998,0.99052,0.89449,0.98549,0.9597,0.9905,0.85371,0.60725,0.88972,0.3367,0.84622,0.000433938,0.000433938,0.000433938
97,4487.97,0.48587,0.67171,0.26377,0.8216,0.97776,0.97617,0.9908,0.90037,0.97546,0.97294,0.9892,0.86025,0.5797,0.89285,0.31929,0.83968,0.000420468,0.000420468,0.000420468
98,4534.04,0.46384,0.65022,0.25337,0.81955,0.98706,0.95511,0.98739,0.89952,0.98706,0.95511,0.98724,0.85676,0.56788,0.88446,0.32623,0.83546,0.00040713,0.00040713,0.00040713
99,4581.66,0.46752,0.6532,0.25145,0.81731,0.97674,0.9693,0.99029,0.90294,0.97703,0.96958,0.99057,0.86233,0.58127,0.88023,0.32182,0.83681,0.00039393,0.00039393,0.00039393
100,4627.31,0.47581,0.66364,0.25687,0.8179,0.99028,0.95509,0.98933,0.90523,0.99001,0.96018,0.98942,0.8607,0.57,0.88513,0.32046,0.83493,0.000380874,0.000380874,0.000380874
101,4674.26,0.46811,0.66197,0.25412,0.81763,0.9786,0.95834,0.98342,0.88794,0.97889,0.95862,0.98415,0.84744,0.61243,0.94027,0.34363,0.84733,0.000367967,0.000367967,0.000367967
102,4719.39,0.47701,0.65647,0.25387,0.81994,0.9822,0.97431,0.99029,0.89942,0.98511,0.97716,0.9919,0.86343,0.59614,0.88967,0.31913,0.84234,0.000355216,0.000355216,0.000355216
103,4767.15,0.47928,0.66686,0.25436,0.82283,0.98389,0.96116,0.98841,0.88636,0.98359,0.96119,0.98891,0.84793,0.62977,0.94227,0.3425,0.84847,0.000342625,0.000342625,0.000342625
104,4814,0.48687,0.65045,0.25692,0.8234,0.98893,0.96157,0.9874,0.88247,0.98893,0.96157,0.98698,0.83933,0.65542,0.97939,0.35538,0.85665,0.000330201,0.000330201,0.000330201
105,4859.18,0.51741,0.66588,0.26831,0.82706,0.98375,0.98033,0.99038,0.894,0.98404,0.98061,0.9905,0.85495,0.64028,0.95668,0.33779,0.85508,0.000317948,0.000317948,0.000317948
